#  b = [b0:  0.02868000, b1:  0.00080000, b2: -0.02788000]
#  a = [a0:  1.00000000, a1: -2.00000000, a2:  1.00000000]
#  index      real(x)      imag(x)      real(y)      imag(y)        error
     204  -0.06112467  -0.99813014   0.04694242  -0.99889761  -0.10812248
     205   0.23657227  -0.97161388   0.33850008  -0.94096637  -0.10648596
     206   0.51313698  -0.85830671   0.60004652  -0.79996508  -0.10472359
     207   0.74386495  -0.66832995   0.80861610  -0.58833659  -0.10296124
     208   0.90814602  -0.41865355   0.94577736  -0.32481563  -0.10114542
     209   0.99130553  -0.13158026   0.99946606  -0.03267330  -0.09928381
     210   0.98591506   0.16724664   0.96498328   0.26231128  -0.09738028
     211   0.89245623   0.45113397   0.84543514   0.53407812  -0.09538139
     212   0.71927732   0.69472307   0.65138012   0.75875157  -0.09335958
     213   0.48184785   0.87625492   0.39993984   0.91654140  -0.09131109
     214   0.20137283   0.97951466   0.11332894   0.99355751  -0.08918632
     215  -0.09709060   0.99527556  -0.18325616   0.98306519  -0.08705389
     216  -0.38688105   0.92212963  -0.46364731   0.88601983  -0.08486046
     217  -0.64211184   0.76661098  -0.70322305   0.71096933  -0.08267082
     218  -0.83998358   0.54261184  -0.88086593   0.47336587  -0.08043540
     219  -0.96282053   0.27014181  -0.98098463   0.19408545  -0.07821523
     220  -0.99964988  -0.02645963  -0.99475890  -0.10224830  -0.07596458
     221  -0.94718170  -0.32069749  -0.92095685  -0.38966465  -0.07380164
     222  -0.81010282  -0.58628780  -0.76607221  -0.64275450  -0.07161966
     223  -0.60065848  -0.79950571  -0.54374623  -0.83924973  -0.06943003
     224  -0.33755797  -0.94130474  -0.27355286  -0.96185696  -0.06723653
     225  -0.04430384  -0.99901807   0.02073090  -0.99978507  -0.06505073
     226   0.25290790  -0.96749038   0.31319672  -0.94968826  -0.06287257
     227   0.52752769  -0.84953785   0.57805258  -0.81599951  -0.06065239
     228   0.75502408  -0.65569711   0.79207641  -0.61042196  -0.05851233
     229   0.91507500  -0.40328369   0.93633401  -0.35111052  -0.05634559
     230   0.99338335  -0.11484545   0.99815071  -0.06078771  -0.05427421
     231   0.98295397   0.18385181   0.97199661   0.23499486  -0.05230964
