# index  real(x)      imag(x)      real(y)      imag(y)      error        
   154  -0.91149593   0.41130910  -0.81415059   0.58065379   0.19564169
   155  -0.99233547   0.12357312  -0.95520957   0.29593020   0.17653938
   156  -0.98453264  -0.17520127  -0.99984010  -0.01788235   0.15822689
   157  -0.88878444  -0.45832545  -0.94427198  -0.32916626   0.14068971
   158  -0.71364377  -0.70050879  -0.79475209  -0.60693419   0.12391288
   159  -0.47475543  -0.88011776  -0.56675939  -0.82388336   0.10788105
   160  -0.19345860  -0.98110844  -0.28332999  -0.95902248   0.09257848
   161   0.10511930  -0.99445962   0.02732132  -0.99962670   0.07798915
   162   0.39430722  -0.91897868   0.33463428  -0.94234808   0.06409676
   163   0.64827284  -0.76140812   0.60870640  -0.79339556   0.05088476
   164   0.84433019  -0.53582323   0.82317328  -0.56779023   0.03833645
   165   0.96496603  -0.26237485   0.95769382  -0.28778905   0.02643496
   166   0.99940433   0.03451069   0.99981271   0.01935302   0.01516331
   167   0.94456882   0.32831349   0.94603810   0.32405541   0.00450446
   168   0.80535779   0.59278903   0.80205022   0.59725660  -0.00555871
   169   0.59420654   0.80431249   0.58204024   0.81315998  -0.01504331
   170   0.32997660   0.94398911   0.30725995   0.95162562  -0.02396643
   171   0.03627083   0.99934200   0.00393363   0.99999226  -0.03234514
   172  -0.26067491   0.96542664  -0.29926059   0.95417142  -0.04019642
   173  -0.53433533   0.84527259  -0.57389845   0.81892647  -0.04753718
   174  -0.76026517   0.64961286  -0.79445241   0.60732640  -0.05438420
   175  -0.91828279   0.39592515  -0.94062788   0.33943953  -0.06075412
   176  -0.99427294   0.10687062  -0.99918356   0.04040066  -0.06666345
   177  -0.98144764  -0.19173034  -0.96507852  -0.26196079  -0.07212849
   178  -0.88095256  -0.47320460  -0.84185225  -0.53970805  -0.07716539
   179  -0.70176460  -0.71240890  -0.64121562  -0.76736075  -0.08179006
   180  -0.45989011  -0.88797584  -0.38190184  -0.92420289  -0.08601819
   181  -0.17693500  -0.98422254  -0.08789261  -0.99612996  -0.08986527
   182   0.12182519  -0.99255157   0.21381153  -0.97687493  -0.09334650
   183   0.40970309  -0.91221893   0.49566940  -0.86851128  -0.09647685
   184   0.66098344  -0.75040049   0.73209993  -0.68119725  -0.09927101
   185   0.85322011  -0.52155100   0.90178063  -0.43219404  -0.10174339
   186   0.96924116  -0.24611292   0.98954061  -0.14425458  -0.10390813
   187   0.99868279   0.05130969   0.98768339   0.15646575  -0.10577907
